ac08_id,num_cells,total_light1994,total_light_cal1994,max_light1994,total_light1995,total_light_cal1995,max_light1995,total_light1996,total_light_cal1996,max_light1996,total_light1997,total_light_cal1997,max_light1997,total_light1998,total_light_cal1998,max_light1998,total_light1999,total_light_cal1999,max_light1999,total_light2000,total_light_cal2000,max_light2000,total_light2001,total_light_cal2001,max_light2001,total_light2002,total_light_cal2002,max_light2002,total_light2003,total_light_cal2003,max_light2003,total_light2004,total_light_cal2004,max_light2004,total_light2005,total_light_cal2005,max_light2005,total_light2006,total_light_cal2006,max_light2006,total_light2007,total_light_cal2007,max_light2007,total_light2008,total_light_cal2008,max_light2008,total_light2009,total_light_cal2009,max_light2009,total_light2010,total_light_cal2010,max_light2010,total_light2011,total_light_cal2011,max_light2011,total_light2012,total_light_cal2012,max_light2012,total_light2013,total_light_cal2013,max_light2013
"2008-01-011",186,122.5,152,9,116,141,8,161,205,11,233,319.5,17.5,328.5,414.5,18,164.5,200,10,324,458.5,14,341,388.5,13.5,333,453,13.5,290.5,494,14.5,364,554,16.5,516.5,794,15,549,768,19.5,801,1049.5,23.5,818,1004,24,710,923,33,1765,1358,56,1075,1186,35,1693,1465,41,1728,1492,44
"2008-01-012",141,15,21,5,24,29,5,95,118,6,91.5,120.5,7.5,153.5,198,10,54,69,6.5,131,213.5,8.5,108,117.5,7.5,150,232,8.5,150,284.5,8.5,208,335,9,245.5,400,10.5,231.5,356,10.5,351,510,13,324,465,12,278,427,11,617,641,17,464,636,15,650,698,16,809,802,21
"2008-01-013",291,147,187,10.5,238,291,13,124,156,6,188.5,243.5,7.5,544.5,709.5,11.5,135,163,5.5,400,595,11,309,346,10,253,416.5,8,271,529,7,394.5,645,10.5,395,676,9,391.5,624.5,10,545.5,872.5,12,630,921,12,508,824,13,846,1066,18,592,1027,13,861,1141,15,1057,1271,24
"2008-01-014",621,0,0,0,0,0,0,16,20,4,100,128,7.5,500.5,646,11.5,118,137,5.5,392.5,754,11,306,342,10,213,538,8,229.5,637,7,435.5,869,10.5,377.5,818.5,7.5,324.5,707.5,9.5,444.5,1096.5,11,557,1178,12,446,1093,14,621,1598,13,475,1600,10,681,1687,15,1044,1920,24
"2008-01-015",263,0,0,0,4,5,4,118,142,5,78.5,96.5,5,188,231.5,5.5,0,0,0,108.5,246,5,48,45.5,5,36,170,4.5,70,231.5,4,176.5,366,4.5,348.5,600.5,4,319.5,541,5,615,928.5,5.5,508,771,5,226,489,5,1107,1129,8,770,1109,6,1348,1373,9,1597,1538,10
"2008-01-016",1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851.5,0,6,4.5,2,0,851.5,0,0,851.5,0,8,862.5,3,28.5,889.5,3,67,936,3.5,189.5,1904.5,4,125,1828,5,16,1719,4,139,3485,7,195,3554,6,324,3610,8,326,3607,8
"2008-01-017",530,1768.5,2224.5,23,1398,1710,19,2401,3046,30,3281,4546.5,36.5,4285,5512,43.5,2739.5,3313,31.5,3178,3905.5,33.5,3046,3548,33.5,3078,3493.5,32,3232,4711.5,34,3663,4891.5,37.5,4204,5956.5,40,4835,6060.5,44,5742.5,6625.5,49,5657,6187,50,5922,6805,54,9841,6628,62,8342,7382,61,10118,7647,57,10225,7695,62
"2008-01-018",404,100,126.5,11,88,107,10,258,323,16,320.5,434.5,11.5,636.5,849,14.5,424,525,12,604,868,12,547,611,13,642.5,888,11,549.5,970,9.5,622,991,9,797,1273.5,10.5,805.5,1183,10.5,1157.5,1576,11.5,1143,1547,12,851,1289,12,1628,1764,25,1718,2117,24,2258,2314,28,2192,2269,31
"2008-01-019",33,225.5,275.5,17.5,202,246,17,304,383,23,392,544.5,28.5,461,596,33,318.5,378.5,22.5,394,465,27,388,447.5,25,409.5,446.5,26,370,526,23.5,449.5,580,32.5,461.5,636.5,31,491,609,35,525,583,37,571,604,39,690,774,49,981,627,58,1047,864,57,999,722,53,1064,761,58
"2008-01-020",13,63,77.5,8,64,78,7,91,115,9,103.5,142.5,10,107,139.5,10,80,97,7.5,102,123,9.5,105,120,10,112,128,11,94,137.5,9.5,124.5,165,12.5,120.5,168,12.5,143,179.5,14,154.5,176.5,15.5,150,163,14,207,233,21,334,223,31,250,222,25,304,229,31,336,249,33
"2008-01-021",43,79,99.5,10,83,100,10,228,285,16,298.5,411.5,11,322,422.5,13,220.5,267.5,9.5,270,326,10.5,310,354.5,11,329.5,375.5,11,248.5,363,9.5,277.5,370,10.5,267.5,377.5,12,302.5,386,11,338,393.5,13,344,387,13,439,517,22,651,478,31,569,520,33,718,576,29,709,570,31
"2008-01-022",18,36.5,46.5,5.5,18,22,5,79,100,7,85,112.5,6.5,118.5,155,9,87,107.5,7.5,104.5,124.5,8,110.5,126,8,105.5,123,7.5,90,133.5,7,103.5,138,8,122.5,173.5,10.5,120.5,154,10.5,132,154,10.5,138,156,10,154,182,12,286,213,25,255,234,24,320,252,28,328,258,31
"2008-01-023",33,19.5,21.5,5.5,23,28,6,62,78,10,59,78,7,127.5,158.5,7,59.5,78.5,5.5,97,126,8,103,107.5,8,77,98.5,7,81,134,5.5,123.5,173.5,6,135,202.5,6,143,192,6,160,197.5,6.5,177,210,7,189,223,8,302,249,12,252,248,12,315,277,14,311,272,16
"2008-01-024",30,53.5,63.5,9,76,93,10,103,130,16,110.5,142.5,10.5,89.5,114.5,11,41.5,52.5,8.5,141.5,174,10.5,113,126,10.5,100,124,8.5,73.5,120,7.5,104.5,147.5,7.5,107,159,6.5,113,156,7.5,140.5,177,7.5,152,182,8,177,212,11,275,220,19,205,209,12,277,244,14,268,235,15
"2008-01-025",25,7,9,5,10,12,5,29,36,6,66,90,7,77.5,100,8,35.5,44.5,5,80.5,99.5,6,78.5,88.5,8,88.5,108.5,9.5,58.5,92.5,6,78,111.5,7,79,118,6,83,116.5,7,119,151,8.5,118,143,8,129,156,9,188,157,13,151,163,12,250,215,19,222,197,17
"2008-01-026",199,0,0,0,4,5,4,5,6,5,18.5,24,5,38,44.5,5,0,0,0,81,192,4.5,16,17,4.5,25.5,126.5,4.5,6,109.5,1.5,61,179,4.5,80.5,209.5,4,104.5,236,5,248,454.5,5,108,307,4,80,279,6,382,618,11,210,557,7,651,803,8,426,662,9
"2008-01-027",326,27.5,34.5,6.5,66,80,6,90,111,7,144.5,188,6.5,221,268,7,63,78,6,273.5,467,8,179.5,198.5,6.5,198,377,7.5,133.5,356,5.5,271.5,509.5,7,306,578,7,373,629.5,8.5,548,902.5,8.5,444,770,9,418,756,13,1225,1358,26,797,1251,20,1501,1621,30,1252,1453,26
"2008-01-028",295,17.5,20.5,6.5,19,23,5,28,35,7,59.5,76.5,7.5,94,110,6,21,26,5,103.5,261.5,7.5,50.5,56.5,6.5,60,212,7.5,38.5,205.5,5,106.5,286,7,130,323.5,6,125,307,7.5,320.5,637.5,7.5,188,483,7,123,421,9,710,1002,18,365,866,13,685,1025,13,739,1047,13
"2008-01-029",184,0,0,0,0,0,0,0,0,0,10,12,2.5,0,0,0,0,0,0,0,92,0,0,0,0,0,92,0,0,92,0,16,115,1.5,0,92,0,0,92,0,0,184,0,0,184,0,0,184,0,0,368,0,0,368,0,0,368,0,0,368,0
"2008-01-030",221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.5,0,0,0,0,0,110.5,0,6,118.5,1.5,5,118,1,2,113.5,1,0,110.5,0,17,238,2,0,221,0,0,221,0,0,442,0,0,442,0,0,442,0,0,442,0
"2008-01-031",836,14,16,5.5,18,22,5,43,53,6,46.5,61.5,5.5,228,303,7,82.5,108.5,5.5,297,748,6.5,142,145,6,167.5,587.5,6.5,141,622,7,235.5,727,5.5,347.5,894.5,7,361,872,7.5,711.5,1592,11.5,555,1391,11,459,1295,7,925,2178,14,843,2296,11,1776,2802,23,1294,2489,18
"2008-01-032",479,426,512,11,456,553,11,735,932,17,652,874.5,12,1024.5,1317,14.5,633.5,805.5,12,1268.5,1664.5,12,1112.5,1237.5,13.5,1046,1366.5,11,890,1502,9.5,1173,1729,10.5,1350.5,2066,12.5,1409.5,1976.5,13,1993,2563.5,14.5,2033,2512,12,1912,2450,14,3646,3076,32,3094,3276,26,4082,3659,32,4019,3607,33
"2008-01-033",740,50,60,5.5,99,119,6,151,187,7,123.5,158,5.5,180,221.5,5,117,144,6,346.5,752.5,7.5,280,319.5,8.5,292.5,682,8,267,755.5,5.5,387,869.5,5.5,612,1206,5,679.5,1234.5,6,1265.5,2084.5,7.5,1016,1756,8,782,1523,8,1808,2496,12,1382,2516,11,2584,3122,13,2360,2964,11
"2008-01-034",201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5,0,0,0,0,0,100.5,0,0,100.5,0,0,100.5,0,4,106.5,1,0,100.5,0,62,263,2.5,0,201,0,0,201,0,0,402,0,0,402,0,0,402,0,0,402,0
"2008-01-035",291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.5,0,0,0,0,0,145.5,0,6,154.5,3,0,145.5,0,11.5,161.5,3,4,151,1.5,216,516.5,5,51,342,5,34,325,5,148,664,8,51,620,6,177,692,9,194,706,11
"2008-01-037",739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.5,0,0,0,0,0,369.5,0,0,369.5,0,0,369.5,0,0,369.5,0,1,371,1,0,739,0,0,739,0,0,739,0,0,1478,0,0,1478,0,53,1511,6,10,1484,5
"2008-01-038",1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,733,4,0,0,0,23,706,2.5,46,757.5,3,26,717,3.5,66.5,774,3.5,163.5,898.5,4.5,308,1691,7,257,1623,7,149,1515,6,407,2961,10,332,2981,9,608,3121,13,568,3085,13
"2008-01-039",231,0,0,0,46,56,5,104,131,7,125.5,165,7.5,129,157,7.5,61,73,6,159.5,293.5,8,127.5,143,7,165.5,297,7,226.5,441,8,302,500,8.5,297.5,516,8,307,497.5,9,707.5,982,13.5,529,760,12,482,731,12,889,967,16,928,1151,17,1879,1706,22,1499,1448,23
"2008-01-040",407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,209.5,2,2,1.5,2,2,205.5,2,21,236,3,39,257,3.5,52,273,3,11,217,3.5,259.5,689.5,4,177,584,4,55,462,4,228,943,6,346,1074,7,839,1330,11,683,1241,11
"2008-01-041",137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,93,4,3,4,1.5,39.5,110,5,50.5,145,3.5,98,197,3.5,157,283,4,195.5,316,4.5,313.5,472.5,7,309,446,7,231,368,7,653,654,20,527,668,15,807,816,17,741,767,16
"2008-01-042",454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,227,0,0,227,0,0,227,0,3,231.5,1,0,227,0,19,480,1.5,0,454,0,0,454,0,0,908,0,0,908,0,10,914,5,4,910,4
"2008-01-043",476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,238,0,0,238,0,0,238,0,0,238,0,0,238,0,2,479,1,0,476,0,0,476,0,0,952,0,0,952,0,0,952,0,0,952,0
"2008-01-044",561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,287,4,0,0,0,2.5,283,2.5,1.5,282.5,1.5,36,327.5,3.5,34.5,326.5,3,10.5,295,1.5,70.5,635,4,38,599,4,4,565,4,60,1154,7,103,1197,7,350,1336,9,272,1288,8
"2008-01-045",299,0,0,0,41,50,5,147,185,7,139,187,7.5,229.5,285,8,145,170,6.5,316.5,499.5,8,242.5,265.5,7,236,399,7.5,293.5,564.5,8.5,357.5,609.5,8.5,436,738,8.5,386,623.5,9,880,1248.5,14,786,1085,13,628,939,12,1134,1234,16,1224,1512,17,2195,2024,25,1848,1794,23
"2008-01-046",1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,653.5,4,10,7.5,2,66,675.5,2.5,79.5,728.5,4,80.5,716,4,203,885.5,5.5,172,823,6,293,1538.5,6,239,1458,7,130,1349,6,338,2626,11,371,2714,10,562,2797,12,346,2649,9
"2008-01-047",2989,0,0,0,181,217,7,167,211,7,118,155,6,120.5,150.5,6,55,71,4.5,31,1532,4.5,49.5,54,4.5,137,1648,6,79.5,1608,4,171.5,1712,5,211,1780,5,265,1819,7.5,381,3403,7,814,3803,9,814,3815,9,1077,6581,12,941,6677,10,652,6399,11,1242,6797,15
"2008-01-048",113868,360.5,430,9,741,898,16,795,1002,17,545,726.5,12.5,581.5,777,9,649.5,824.5,10.5,880.5,57939,12,912.5,1041.5,14,1059,58076.5,12.5,1220.5,58635.5,12,1304.5,58586,12,1353.5,58759,10.5,1579.5,58897.5,12,1789.5,115788.5,12.5,2115,115983,17,2099,116060,18,3938,230032,27,3089,230076,23,3403,229936,26,3651,230116,28
"2008-01-049",3786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,0,0,0,0,0,1893,0,15,1912.5,2,67,1980.5,3.5,91,2018.5,3.5,141.5,2077,3.5,140.5,3941.5,4.5,388,4174,9,271,4057,7,386,7790,8,225,7738,7,307,7761,8,454,7861,11
"2008-01-050",14632,146.5,174,10.5,268,327,16,264,335,17,189.5,253.5,12.5,181.5,238,9,198,251.5,10,379.5,7748.5,11.5,282,319,14,419.5,7768,12.5,404,7886.5,11.5,495,7946.5,12,496.5,7988.5,10.5,459.5,7891.5,11.5,761,15471,11.5,800,15432,16,784,15459,17,1489,30129,25,1224,30194,23,1212,30039,25,1468,30215,26
"2008-01-051",8381,1689.5,2133,29,1585,1939,28,1609,2044,25,1425.5,1976.5,22.5,2102,2752.5,32,1804.5,2192,31.5,1946,6427,27.5,1539,1749,26,1661,5956.5,26.5,1099.5,5740,17.5,1430.5,6021,17.5,1368,6035,14,1032,5455,14,1677,10163.5,16,1065,9446,14,1059,9493,15,2062,17967,27,1572,17947,22,1889,17988,26,1619,17822,26
"2008-01-052",1316,723.5,911,29,769,944,28,673,859,25,550.5,772,22.5,699,912,31.5,667.5,806,31,713.5,1478,27.5,600,687,26,629.5,1327,26.5,389.5,1209,17.5,475.5,1261.5,17.5,377.5,1166,14,305.5,1033,13.5,432,1779.5,15.5,274,1590,14,356,1693,15,631,3003,27,602,3095,22,514,2970,26,585,3019,26
"2008-01-053",2664,381,481.5,27,549,675,26,672,852,21,509,687.5,20,801.5,1035.5,25,622,761,26,859.5,2309,22.5,652.5,737,21,773,2155.5,23.5,563.5,2142,14.5,796.5,2358.5,15.5,833,2459,12,596.5,2064.5,13,1192,3936.5,15,754,3418,12,755,3449,15,1501,6196,27,1048,6108,20,1168,6091,24,1086,6032,23
"2008-01-054",1323,0,0,0,0,0,0,5,6,5,0,0,0,24.5,36,6,18,21,5.5,32,695,6,30.5,32.5,6,32,694,6,18.5,690,4.5,30,701,5,54.5,735,5.5,25,693,6,105.5,1437,6.5,75,1398,7,21,1344,5,56,2677,9,65,2694,8,118,2720,10,81,2696,8
"2008-01-055",894,168.5,210,8,261,318,9,276,348,8,223,300,7.5,506.5,661,11,362,452,8.5,1097,1689.5,14.5,1314.5,1519.5,23,1860.5,2423,36,1212,2129.5,20.5,1280.5,2078,18,1247.5,2133,16,1181.5,1888.5,17.5,1745.5,2769.5,21.5,1323,2217,19,1295,2256,18,2322,3164,27,2000,3311,22,2497,3429,23,2346,3336,23
"2008-01-056",875,0,0,0,0,0,0,56,69,5,45,60,5,131.5,169,6,76.5,94.5,5,134,586.5,5,55,57,4.5,218,670,6,210.5,749.5,4.5,384,938.5,6,614.5,1268,5.5,581.5,1172,5.5,802,1738,7,603,1478,7,555,1430,7,1553,2651,20,1444,2832,16,1879,2983,17,1798,2924,16
"2008-01-057",554,40,50,7,75,90,6,77,97,7,26,34.5,5.5,110,146.5,8.5,101.5,126.5,8.5,90.5,380.5,7,91.5,104,7.5,90,373,7,78,385,5.5,84.5,387,5,164.5,499.5,6.5,164,477.5,7,168.5,730.5,7,157,711,8,61,615,6,214,1227,9,150,1220,7,266,1275,10,195,1231,8
"2008-01-058",1408,2104,2674.5,38.5,2211,2716,43,2482,3141,42,1889,2607.5,42.5,2652.5,3431.5,46.5,2321,2862.5,45.5,2387.5,3463,43,2461,2886,43,2585,3437.5,45,2012.5,3487,37,2217,3518,39.5,2578,4194,37.5,2724.5,4004,38.5,3276.5,4935.5,47,3082,4490,45,2719,4285,50,4827,5583,58,3798,5690,60,5222,6226,56,4530,5762,58
"2008-01-059",1042,30.5,38,8.5,42,51,9,41,51,9,23.5,31,7.5,68.5,92.5,10.5,74.5,89.5,9.5,64.5,595,7.5,60.5,67.5,8.5,63.5,588,8,48,588.5,6.5,63.5,604,6.5,335,975.5,7,289,880.5,7.5,433.5,1500.5,7,318,1360,9,78,1120,7,347,2280,12,260,2276,10,614,2466,12,465,2373,10
"2008-01-060",517,2901.5,3714.5,38.5,3216,3938,43,3663,4635,42,3101,4279,42.5,4111,5333.5,47.5,3294.5,4072.5,47,3630.5,4429,43,3589.5,4156,43,3871,4354.5,45.5,3039.5,4500,37,3526,4713.5,39.5,3447,4915,38,3699.5,4747.5,38.5,4476,5319.5,48,4441,4958,45,4711,5482,50,7329,5235,58,6492,5960,60,7414,5879,56,7254,5768,58
"2008-01-061",1349,1749.5,2214.5,38.5,2102,2566,41,2391,3015,41,2038,2800,42,3089.5,4037,47,2475.5,3052.5,47,3454,4592,43,3418,3915.5,43,4182,5116.5,45.5,3043,4937.5,36.5,3491.5,5108,39.5,3410.5,5278,38,3296.5,4714.5,36.5,4677.5,6353.5,48,4121,5470,44,3966,5495,48,6566,6527,57,6819,7867,60,8009,7955,56,7537,7643,58
"2008-01-062",1205,206,247.5,8.5,272,330,8,337,424,9,203,271,7.5,433.5,562,10,266,336.5,8.5,490,1144,8.5,319.5,345,9,371.5,1001,8.5,281,1011.5,7.5,362.5,1068,8,378.5,1110,8,334,1018.5,7,541.5,1779,9.5,485,1690,10,479,1695,10,814,2884,15,1274,3359,17,2120,3768,16,1907,3629,17
"2008-01-063",1043,172.5,213,8.5,209,252,8,214,266,8,111,147,6.5,302.5,397.5,9,328.5,416,9,486.5,1072.5,9,416.5,474,9.5,557,1124.5,12.5,369,1042.5,10,899,1679.5,11.5,812,1626,12,671,1351,13,943.5,2075,14,842,1885,14,988,2059,19,2379,3438,39,1839,3469,33,2488,3687,28,2178,3488,30
"2008-01-064",802,2766,3482,31.5,3518,4327,45,3683,4665,37,2916,4068.5,30,3911,5104,38.5,3482.5,4298,24.5,3573,4530,21,3533,4088,22,3619.5,4290.5,23.5,3063,4620.5,22,3712.5,5099,25.5,3857,5615.5,25,4084.5,5375.5,29.5,5000.5,6167,34,5309,6111,36,4979,6042,35,7052,5689,48,6594,6629,47,7951,6822,47,7818,6723,49
"2008-01-065",344,3023,3733.5,40,3238,4001,48,3496,4438,45,3176,4395,43,3444.5,4451,46.5,3103.5,3833.5,44.5,3313.5,3987.5,46.5,3266.5,3797.5,43.5,3615.5,4030,48.5,2770,4005.5,41.5,3398,4464.5,49.5,2957,4135.5,38,3329,4164,43.5,3741,4318,48,4028,4372,45,4360,5034,51,6647,4645,59,5367,4836,56,6441,5004,55,5850,4624,55
"2008-01-066",902,279.5,352.5,8,317,390,10,617,770,9,268.5,365.5,8.5,701,872.5,9,537,693.5,9.5,897.5,1459.5,10,789.5,864.5,10.5,1146.5,1691.5,12,773,1594.5,8,1274.5,2099.5,9.5,1254.5,2144,8.5,879.5,1575,10,1514,2550,14.5,1488,2390,16,1840,2774,15,3323,3678,24,2976,4016,19,3906,4312,23,3308,3920,20
"2008-01-067",490,2888.5,3552,15.5,2963,3625,13,3185,4034,16,2940.5,3997,15,3371.5,4354,17,3289,4066.5,17,3653,4448,18,3516,4055,15.5,3665,4170.5,18,3037,4418,14,3736.5,4943.5,16,3831.5,5424,14,4490,5670.5,17,4713.5,5502.5,20,4787,5277,17,4709,5566,17,6965,5186,29,6120,5634,26,7890,6333,35,6960,5723,32
"2008-01-068",888,3294.5,4078.5,23.5,3279,4015,22,3847,4858,24,3381.5,4600.5,25,4176.5,5344,29.5,3889,4792,28,4359,5436,29,4385.5,5001,28,5123.5,5914,29.5,4141,6227,26.5,5094,6898,29,5110,7331.5,26.5,5456,7060,31,6147,7463.5,37.5,6447,7335,38,6576,7887,36,10333,7822,50,9095,8748,50,11085,9137,53,9698,8240,52
"2008-01-069",382,3029,3759,23,3162,3909,26,3527,4467,27,3412,4720.5,26.5,3664.5,4745.5,29.5,3608,4416.5,28,3766.5,4554,29,4077,4734.5,33.5,4717.5,5212,42,3670.5,5252.5,35,4236,5529.5,38.5,3970,5554.5,33.5,4105.5,5114,34,4839.5,5559.5,43.5,5371,5753,44,6059,6891,49,8504,5775,54,7422,6510,56,8277,6272,53,7739,5923,54
"2008-01-070",768,5424.5,6897,46,5666,6944,46,6238,7898,45,5464.5,7529,48,7191,9250,53.5,5645.5,6968,52.5,6070.5,7377.5,49,6572,7626,49.5,7374.5,8210,56.5,5720,8336.5,48.5,6346.5,8396,46.5,6672.5,9381,52,7284.5,9192,54,8129.5,9458,55,8519,9287,58,9014,10285,55,13103,9103,60,10773,9738,60,14112,10802,63,13311,10324,61
"2008-01-071",293,9592,11552.5,61,9991,11461,63,10257,12136,62,10043.5,12586.5,62,10932.5,12795.5,63,10032,11355.5,63,10022.5,11332,62.5,10212.5,11569.5,63,11470.5,11948.5,63,9861.5,12139,62.5,10398.5,12212,63,10028.5,12300,63,10731.5,12295,63,10975.5,11717.5,61.5,11736,12001,63,12309,13113,63,14378,8514,63,12811,10288,63,14103,9615,63,13456,9207,63
"2008-01-072",6,53.5,68.5,9.5,57,69,10,60,77,11,59,80,10,60,78,11,52,64,9,56.5,68.5,10,57,65.5,10,64.5,70.5,11,55.5,79,9.5,63.5,82,11.5,57.5,81.5,10,69,87,12,67.5,79.5,12,86,92,15,94,106,16,137,94,24,108,96,19,127,97,23,125,96,22
"2008-01-073",13,109.5,137,9.5,114,140,10,125,158,11,117.5,157,10,120.5,155,11,101,125,9,108,130,9,111.5,126,10,125,141.5,11,108,155.5,9,126,165,11.5,112,158.5,10,139.5,178,12,133.5,157,12,162,175,14,183,209,15,279,194,23,215,196,19,251,194,24,237,184,20
"2008-01-074",243,2274.5,2821,21,2278,2831,26,2585,3272,26,2517,3514,26,2553.5,3304.5,23,2485,3031.5,21,2638.5,3203.5,23,2815.5,3274.5,27,2907,3214,33.5,2144.5,3099.5,24.5,2609.5,3401.5,30,2330,3273.5,21.5,2554.5,3190,26,2815,3262.5,31,3067,3310,27,3573,4076,43,4784,3410,50,4349,3905,45,5345,4044,44,4940,3808,44
"2008-01-075",169,1957.5,2442,26.5,2033,2512,24,2149,2729,27,2160.5,3030,26,2249,2884.5,33.5,2059.5,2521,32,2193,2627,28.5,2244.5,2609,28,2372,2590,34.5,1721.5,2461,22,1958,2544,22.5,1829,2571.5,22,1948.5,2463.5,23.5,2222,2564.5,26,2460,2629,27,2970,3328,36,3737,2583,48,3248,2877,42,3902,2937,40,3656,2777,38
"2008-01-076",376,4178,5223,31.5,4472,5513,35,4802,6082,35,4508,6292,31.5,4665.5,6048,36.5,4769.5,5856.5,40.5,4872,5853,41,5141,6027.5,45.5,5217,5730,46,4245,6007,36,4591.5,5956,38.5,4408.5,6147.5,38.5,4847,6036.5,39,5458,6245.5,43,5504,5880,46,5716,6517,43,7651,5334,46,6622,5962,52,7416,5742,46,6737,5312,46
