ac08_id,num_cells,total_light1994,total_light_cal1994,max_light1994,total_light1995,total_light_cal1995,max_light1995,total_light1996,total_light_cal1996,max_light1996,total_light1997,total_light_cal1997,max_light1997,total_light1998,total_light_cal1998,max_light1998,total_light1999,total_light_cal1999,max_light1999,total_light2000,total_light_cal2000,max_light2000,total_light2001,total_light_cal2001,max_light2001,total_light2002,total_light_cal2002,max_light2002,total_light2003,total_light_cal2003,max_light2003,total_light2004,total_light_cal2004,max_light2004,total_light2005,total_light_cal2005,max_light2005,total_light2006,total_light_cal2006,max_light2006,total_light2007,total_light_cal2007,max_light2007,total_light2008,total_light_cal2008,max_light2008,total_light2009,total_light_cal2009,max_light2009,total_light2010,total_light_cal2010,max_light2010,total_light2011,total_light_cal2011,max_light2011,total_light2012,total_light_cal2012,max_light2012,total_light2013,total_light_cal2013,max_light2013
"2008-01-001",295,0,0,0,0,0,0,0,0,0,0,0,0,13.5,23.5,2,0,0,0,0,147.5,0,0,0,0,0,147.5,0,0,147.5,0,0,147.5,0,4,153.5,1,0,147.5,0,21.5,317.5,3.5,0,295,0,0,295,0,29,605,6,18,604,5,22,604,6,72,633,7
"2008-01-002",1991,0,0,0,0,0,0,0,0,0,0,0,0,790.5,1137.5,8,5,5,2.5,40.5,1040.5,4,32.5,33.5,4.5,29.5,1025,2.5,52,1076.5,3.5,152,1193,4,221,1294.5,4.5,129,1159,4.5,422,2430,5,352,2343,6,129,2120,6,859,4482,13,702,4520,9,941,4569,10,1354,4828,10
"2008-01-003",528,0,0,0,0,0,0,0,0,0,0,0,0,62,87.5,4.5,0,0,0,4,268,2,0,0,0,0,264,0,0,264,0,5,271,1.5,39.5,317,3,9.5,276.5,3.5,56.5,591,4,56,584,4,0,528,0,363,1261,9,531,1455,17,862,1627,24,689,1511,19
"2008-01-004",1407,4,5,4,34,42,5,127,160,6,114.5,151.5,7.5,375,494,10.5,87.5,111,6.5,251,985,6.5,221.5,244,7,247.5,967.5,6.5,317,1157,7,365,1178.5,6.5,591.5,1509.5,10.5,488.5,1308.5,9,852.5,2313.5,11,706,2113,10,444,1856,9,1779,3814,14,969,3529,11,1794,3962,16,1933,4055,17
"2008-01-005",528,0,0,0,0,0,0,36,46,6,34,45.5,6.5,119,154.5,10.5,54.5,70,6,84,357.5,6,68.5,77,6,87.5,355.5,6.5,95,398.5,6.5,103.5,400.5,5.5,191.5,522.5,6,174,478.5,7,279.5,821.5,8,299,827,8,112,642,9,818,1516,13,479,1419,10,879,1612,15,981,1674,17
"2008-01-006",2246,390.5,459,9,683,832,12,1100,1374,12,324,438,9.5,1376.5,1745,14,526,695,10.5,1177.5,2444.5,11,993.5,1082.5,11.5,995,2167.5,10.5,927.5,2467.5,9,1347.5,2850,9.5,1479,3119.5,11.5,1164.5,2572,11,1653,4020.5,13,1251,3497,12,1065,3352,16,2998,6213,24,1927,5955,17,2572,6147,18,3077,6437,22
"2008-01-007",374,323.5,412,11.5,457,559,14,286,360,7,227.5,300.5,7.5,449,581.5,10,126,156.5,6.5,304.5,524,8.5,215.5,238,8,270,478.5,8.5,290.5,597,9,343,622,9,458.5,807,11.5,433.5,717,11,626,1032,13.5,676,1050,12,522,916,11,1080,1389,19,801,1352,15,998,1405,18,1179,1525,21
"2008-01-008",367,0,0,0,26,32,5,95,121,6,108.5,144,7.5,251.5,326.5,10.5,102.5,127,6,207,416,6.5,179,196,6,206,403,6.5,180,435.5,6.5,194,433,6,267.5,543.5,6,251.5,491.5,7,324.5,707.5,8,287,654,8,210,585,9,703,1132,14,488,1093,11,1001,1384,15,978,1373,17
"2008-01-009",1704,0,0,0,0,0,0,0,0,0,0,0,0,98,127.5,5.5,0,0,0,40.5,892.5,2.5,0,0,0,0,852,0,21,887,1.5,64,936,4,112,1004,4,82,958.5,3.5,153,1872.5,4,138,1842,5,47,1751,4,625,3754,9,859,4047,17,1196,4194,24,1105,4125,19
"2008-01-010",284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,144,2,0,0,0,0,142,0,1.5,144.5,1.5,3,146,3,15,162,3,19.5,167.5,3.5,83.5,371.5,4,40,324,4,20,304,4,171,663,7,109,651,6,224,709,7,184,682,7
